Title,Rating,Overview
Rubí,8.0,"An ambitious woman of humble background and stunning beauty is determined to change her poor situation, using her seductive skills on a millionaire doctor."
RadhaKrishn,8.1,"The story of Radha and Krishna is the epitome of eternal love, which transcends eras and emotions."
Strange Angel,7.0,A rocket scientist in 1940s Los Angeles is secretly the disciple of occultist Aleister Crowley.
Mental,6.9,The psychiatrist seeking to save his sister as well his patients while using any means necessary.
Little Bill,6.3,"A smart, inquisitive five year old boy called ""Little Bill"" explores what life is like with the help of his big imagination."
Perfect Team,6.6,Based on Tango and Cash with extras thrown in.
The Commish,7.1,"Slightly offbeat television police comedy-drama. Tony Scali is the Police Commissioner in a small town, where solutions to difficult situations often require considerable creativity. Tony's...                See full summary »"
Missions,6.6,"The first manned mission to Mars is now approaching the red planet. The crew includes top-flight scientists and a young female psychiatrist, responsible for their mental health. But just as they are about to land, something goes wrong."
Wannous,8.7,"After (Yaqout) the father left his wife and kids and disappeared for 20 years, the Devil (Wannous) came to his family claiming that he's their father's friend telling them that their father and (Wannous) own millions."
Tiny World,8.9,A look at the world through the eyes of the tiniest creatures and witness the extraordinary things they do to survive.
Pørni,8.1,"Single mother Pørni is responsible for three children, her elderly father, and all the children she meets in her job at the child welfare service."
Feluda Pherot,7.7,Chronicles the adventures of Prodosh Chandra Mitra a Bengali private detective along with his sidekick Topshe and friend Lalmohan Ganguly
Star Wars: Forces of Destiny,5.4,Small moments and everyday decisions shape a larger heroic saga.
The Good Bad Mother,8.4,"A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship."
Ghost Stories,8.0,A group of school kids and a possessed cat fight ghosts in their neighborhood.
Street Fighter II: V,7.5,"Based off of the video game, on an island off the coast of Japan, Ryu, a martial artist, was given an invitation and some American money from his friend Ken Masters, telling him to come to ...                See full summary »"
Antares,6.4,"Zea, a mysterious girl, makes her way to Ares' life, the leader of Calderioz, to investigate her brother's unfortunate accident. The two involve in a love story like no other; teaching them the value of trust, friendship, and true love."
Furia,7.1,Asgeir and Ragna get entangled in a web of radical right-wing groups and followers - sending them on a journey from the fjords of Norway to a Berlin preparing for Germany's election.
Porodica,7.3,A family under siege. Not an ordinary family. The former President is facing arrest.
Duncanville,6.3,"Duncanville is centered around a spectacularly average 15-year-old boy, named Duncan with a rich fantasy life, and the people in his world. He's not exceptional, but he has a wild imagination in which he's never anything less than amazing."
That '80s Show,4.7,That '80s Show is a half-hour ensemble comedy focusing on a group of twenty-somethings finding their way through the '80s in San Diego.
Faerie Tale Theatre,8.3,A miscellany of numerous classic fairy tales' adaptations.
Matroesjka's,8.1,Each year hundreds of women are taken from their homes and forced into a life of prostitution and sexual slavery. This is the story of ten of them. A Belgian criminal gang head east to ...                See full summary »
Isabel,8.3,"The life of Isabella I of Castile, also known as Isabella the Catholic."
The Lake,6.3,Justin returns from living abroad in the hope of reconnecting with the biological daughter that he gave up for adoption. His plans go awry when he finds out his father left the family cottage to his stepsister.
Stonehouse,6.8,A British politician fakes his own death.
Bedlam,6.4,Drama and supernatural chills in this series centered around a haunted insane asylum-turned-apartment building.
My Name Is Farah,6.6,Farah is a 28-year-old Iranian woman who works illegally as a cleaner in Istanbul and witnesses a murder committed by the mafia.
I Spy,7.2,A pair of intelligence agents posing as a tennis pro and his coach go on secret missions around the world.
Prince Caspian and the Voyage of the Dawn Treader,7.0,"Young Prince Caspian of Narnia wonders and dreams about the old days of Narnia when animals talked, and there were mythical creatures and four rulers in Caer Paravel. But his uncle and aunt...                See full summary »"
Bluestone 42,7.9,Follows the lives of a group of soldiers serving in a bomb disposal detachment in Afghanistan.
Attack of the Show!,7.8,"Join our hot hosts as they serve up a daily dose of all the news you need to know, including the coolest viral videos, the hottest new gadgets, and more."
Lawless Lawyer,7.6,"Sangpil had witnessed the death of his mother, a former human rights lawyer. Brought up by his gangster uncle, he became an unprecedented gangster lawyer to avenge his mother's death."
Who Wants to Be a Millionaire,6.0,"The original British version of the popular quiz show, that became a worldwide phenomenon."
BeastMaster,6.2,The sword and sorcery adventures of a wandering adventurer who has the ability to communicate with animals.
Akudama Drive,7.3,"Long ago, a war broke out in Japan that pitted Kantou against Kansai and divided the country. Kansai became dependent on Kantou, but slowly the police and government began losing control of Kansai to criminals known as Akudama."
12 oz. Mouse,6.5,"In this crudely animated series, a mouse performs odd jobs so he can buy more beer."
Dragons' Den,6.9,"Budding entrepreneurs, inventors, and small businessmen (and -women) pitch their ideas to the five ""dragons""--real-life business leaders and millionaires, with real cash to invest in the ...                See full summary »"
Indian Premier League,7.8,The best cricket players on the planet converge for the epic battle that will transcend all barriers. For die hard cricket fans!
Black Butler II,7.4,"In late-nineteenth century England, one year and three months after the dramatic conclusion of the original series, Kuroshitsuji II introduces a new butler and young master. The sadistic ...                See full summary »"
The Julekalender,8.3,"3 Danish elves/nisser in Alaska fly to Jutland to get a key at an old nisse cave near a potato farm. Landing, the biplane propeller breaks and a new is needed. They speak half Danish half English. A stranger comes."
Better Late Than Never,8.5,"This hilarious fish-out-of-water comedy/reality show follows cultural icons Henry Winkler, William Shatner, Terry Bradshaw and George Foreman on their greatest adventure yet. Deciding it's ...                See full summary »"
Be My Sunshine,6.9,"The paths of city businesswoman Haziran and Poyraz, a handsome and helpful young man, intersect on Swallow Island, and love arises from the disagreements of these two opposite characters."
Total Drama All Stars,6.7,"Fourteen people from previous seasons return to the now radioactive free island, where they once again compete for one million dollars."
